,text,target
10,"Throughout self-isolation, art has been flourishing. We have seen musicians and singers that have live-streamed concerts from their homes, neighbours singing to each other on balconies and online audiences quick to show their appreciation with likes, shares and comments.
UOW's Live Art Week Online is underway, all from the comfort of your home.
This week we turn to three University of Wollongong artists to see how they’re faring during this crisis.
Our first artist, Sam St Jon - Photographer is using her photography skills to capture the portraits of the Illawarra as residents cope with the social isolation caused by COVID-19.
STAND.UOW.EDU.AU
Capturing the faces of social isolation",true
11,"Bike sales move up a gear during COVID-19 🚴
Australian bike retailers are struggling to keep up with the boom in sales since coronavirus restrictions came into force last month.
During the COVID-19 lockdown it seems everyone has been going gaga for cycling as they look for new ways to get active or alternatives to public transport.
Labelled as the “new toilet paper”, bike sales across Australia have risen more that 300 percent since this time last year.
So, get on your bike, get some exercise and when uni does go back leave the car at home and save on parking fees.",true
12,"""Part of what drives me is changing the negative narrative about refugees."" Narayan Khanal, a human rights activist who spent his first decade in a refugee camp in Nepal, has been awarded UOW's Robert Hope Memorial Prize.
Narayan has graduated from UOW with a Bachelor of Medical and Health Sciences with Distinction and is now studying at UOW’s Graduate Medicine to become a doctor.
Congratulations Narayan! 👏
https://uow.to/2W4ojkP",true
13,"Applications are now open for UOW’s global sports programs starting in 2021.
With innovative player development programs supported by some of the world’s best clubs, these programs allow students to keep improving their game while studying for their future – achieving excellence on the field, in the classroom and in their future careers.
🏉 UOW Crusaders Global Rugby Program – http://uow.info/globalrugby
⚽ UOW Tottenham Hotspurs Global Football Program – http://uow.info/globalfootball",true
14,"Researchers from UOW are looking for people to take part in a study looking at the impact of COVID-19 on the wellbeing of Australians.
The online survey will collect anonymous information on demographic characteristics, personality aspects, mental health and attitude towards COVID-19. It is part of a broader international project looking at the impact of the corona virus on the wellbeing of people throughout the world.
The survey takes about 20-30 minutes to complete. People who are interested in taking part in the survey can find it here:
https://uow.au1.qualtrics.com/jfe/form/SV_0TBaF767oSQWZw1",true
15,"“At a young age, I realised that there is very little difference between people; we all need the same things, we just have difficulty negotiating them with others.”
After receiving an Early Admissions offer, Jasmine began her studies at UOW with the aim of undertaking a double degree in Journalism and International Relations. But in her first year, she discovered that she was more drawn to the people she was covering as a budding reporter than to the field of journalism itself.
UOW.EDU.AU
2020: How a fascination with international affairs inspired Jasmine",true
16,"What songs bring you comfort in times of stress? Do you reach for old school hits or new pop? The soothing sounds of classical music or the rush and rage of rock? Music is one of the best ways to help us unwind when it feels like the world is falling apart. Lecturer in the School of Psychology at UOW Dr Tim Byron explains why. 🎵
STAND.UOW.EDU.AU
Why we reach for music in times of stress",true
17,"On 26 April 1986, a catastrophic accident occurred at the Chernobyl Nuclear Power Plant, located just outside Pripyat, in Ukraine’s north and the then Soviet Union. Now, on the 34th anniversary of the worst nuclear anniversary in the world’s history, UOW’s Distinguished Professor Anatoly Rozenfeld shares his memories of his time at Chernobyl.
STAND.UOW.EDU.AU
Chernobyl: a lesson in truth",true
18,"How is everyone passing their time inside? ⏳
While it's to be expected that there would be spikes in sales of gym and office equipment, less obvious items like puzzles are also flying off shelves.
Some of the top sellers during the Covid-19 pandemic so far include pianos, Ping-Pong tables, gardening items and sleepwear. While some of the stranger items range from, anti-spitting hats, car stickers that say ‘Covid-19 may be on board’ and of course bidet taps.
So, from those insanely intricate puzzles that are keeping you focused for days, to the dry yeast powder you’ve been hoarding to bake loaves of fresh bread for the neighbourhood, share what you’ve been buying or doing to pass the time inside.
📸 Paul Jones",true
19,"UOW Students
23 April at 15:30 ·
We’ve heard from many of our students with concerns about how adjustments to Autumn Session dates may impact the end-of-session study recess and exam period.
We have made the following adjustments to the Autumn 2020 session dates:
🖊️ Students will still have a one week study recess, held from Monday 15 June to Friday 19 June
🖊️ The Autumn end-of session examination period will commence on 20 June, and end on 2 July
🖊️ Subject results for Autumn session will be released at 5 pm on Friday 17 July
For a full list of these confirmed dates 👉 https://uow.to/keydates",true
20,"""I’ve simply tried to take every opportunity that has come my way.”
New graduate Anna has spent more than 500 hours volunteering throughout her time at UOW, and contributed to student life on campus through her role as Student Leader for UOW UniLife's Wellness program.
👏👏👏
UOW.EDU.AU
2020: How graduate found joy in giving back",true
21,"Do you remember choosing your birthday cake from the Australian Women’s Weekly’s iconic birthday cake book? Or the first time your mum made an exotic dish? So much of who we are as Australians and what we eat has been inspired by the pages of The Australian Women's Weekly.
As you isobake your fourth batch of biscuits, take a peek at how the iconic magazine has forged our modern food culture. 🍪😁
👉 https://uow.to/3cxwRpz",true
22,"It’s no secret that the world’s economy is facing tough times. Now more than ever you’ve got to prepare to be dream job ready.
The Dream Job Ready podcast is like booking a career consultation with the world’s top executives and leaders. Hosted by UOW alumnus Dane Sharp, Dream Job Ready is made for job seekers, career starters, students, graduates and anyone looking for their next big career break.
Dane is a renowned marketing, media, brand, digital and customer experience expert, driven to answer the age-old question ‘how did you land that job?’
👉 www.dreamjobready.com",true
23,Go behind the scenes with UOW Professor Aidan Sims as he leads remote learning in the School of Mathematics and Applied Statistics. 🤔👨‍🏫,true
24,"With some ingredients in short supply due to panic buying, a 1945 issue of the Australian Women's Weekly might be able to help. Although we're far from a genuine food crisis, these pages cover recipes from meatless sausages, to faux-apple pie, imparting historical cooking knowledge on how to get creative with less..
Read more 👉 https://uow.to/2vxugfo",true
25,"With countries around the world in lockdown, it’s more important than ever to connect with loved ones and maintain a strong support network during these tough times.
STAND.UOW.EDU.AU
9 ways to socialise and connect while you're in lockdown",true
26,"New challenges are being faced by every industry and the art world is certainly no exception. After all, how do you have an art show opening without all the people? 🤔
For Emma Moser, a University of Wollongong curatorial intern at the Hazelhurst Regional Gallery, curating provides an incredible sense of accomplishment and joy, and even in the midst of a global pandemic, she's finding ways to continue sharing that joy with others.
STAND.UOW.EDU.AU
Art in the age of coronavirus",true
27,"STAND.UOW.EDU.AU
7 tips to self-improve while you self-isolate - UOW's The Stand - University of Wollongong",true
28,"We know that many students have been asking questions about academic matters such as grades, course progress and academic consideration, given the COVID-19 pandemic. We have heard your questions and are working on solutions that will enable students to continue to progress and succeed in their learning. We will communicate to students about this as soon as we can, and appreciate your patience as we work through these details.",true
29,"UOW Students
6 April at 06:37 ·
We have been working to ensure that all UOW Australian campuses are open and operational, as well as safe and healthy for students who need to access facilities.
Several indoor and outdoor spaces across all our campuses remain open for students to visit and use the wi-fi; however, visitors must practise physical distancing restrictions enforced by the Government.
Wollongong Campus Access
🦆 Buildings 9 and 11 have been set up with 100 study desks for students to use. There will be security on the door, separate entries and exits, and hand sanitiser to ensure students are able to practice good hygiene and a maximum capacity of 100 people.
🦆 In Building 11, more than 25 desks are next to power and a table has been set up with power boards.
🦆 The link bridge between Building 16 and 17 is closed to students. Please use an alternate route.
🦆 Wi-fi is available across campus so students who do not wish to use an indoor space are encouraged to sit outdoors. Wi-fi can also be accessed in the carparks.
🦆 Parking metres on campus have been disabled during this period of remote delivery, so that students can park without incurring cost.
The University’s regional and metropolitan campuses remain open and operational to all students, with physical distancing measures in place and maximum capacity in rooms have been calculated.
For more information on accessing facilities at your campus, please visit 👉 https://uow.to/2xT9iZ8",true
30,"COVID-19 Financial Assistance Grant Scheme
In this time of significant change, we have experienced an unprecedented call for support from our students.
That is why we have established the COVID-19 Financial Assistance Grant Scheme for students most impacted by COVID-19.
Providing access to emergency funding will ease some of the financial burdens for students who due to self-isolation or lost employment are experiencing a significant loss of income.
Things to know:
– Grants are available for impacted domestic and international students enrolled at any of UOW's Australian based campuses, including UOW College Australia.
– Students seeking financial assistance can apply online from 8 April.
– Students will be assessed on a case-by-case basis, with decisions and grants being allocated as quickly as possible.
For more information visit: https://uow.to/2R6ULjh",true
31,"UOW Chancellor, Ms Jillian Broadbent AC has announced the appointment of respected business leader, Ms Christine McLoughlin, as the University’s fourth Chancellor. Ms McLoughlin will assume the post when Ms Broadbent retires in Q4 2020.
“I have every confidence Ms McLoughlin will continue the work of guiding this great institution towards an exciting future and so I am very proud to be handing over the reins to such a distinguished corporate leader,” Ms Broadbent said.
https://uow.to/3bT3M7T",true
32,"“In these unprecedented times, I’m impressed at how quickly people have come together.”
UOW teams are proving 3D printing can help in the coronavirus crisis.
Hospitals urgently need face shields and they’re in short supply.
Working with the local health service, teams from UOW’s TRICEP and Makerspace have designed an approved frame. They’ll now work with local 3D printing companies to produce the required 1,000 shields per week.
On top of that, the team is also looking into prototyping 3D printed components for ventilators.
Distinguished Professor Gordon Wallace adds “we want to be doing things here at UOW that are benefiting our community”.
Read the full story here 👉 https://uow.to/3bQjXmn",true
33,"UOW Students
3 April at 11:37 ·
Are you tech-ready for remote learning? Autumn session classes resume remotely from Mon 6 April. If you need help, our student IT support team are available seven days a week.
Today UOW Communications student Caitlin chats to IT support James to answer all of your tech questions.
Campus update: While our computer labs and library remain open, physical distancing requirements mean that numbers are strictly limited. Please keep the labs available for those in real need (those without computers, wifi or a study space at home), and study from home if you are able to.
Learn more: uow.info/remote-learning",true
34,"Got questions about remote learning?
Students around the globe are facing a year like no other – we get that it might be all kinds of confusing!
To help you prepare for remote learning (beginning 6 April), we’ve put together a one-stop-shop for all you need to know, including questions like:
- Why are we going remote?
- How it will work?
- What are the new key dates?
- Got any tips on how to nail remote learning?
- Plus more…
Visit the UOW remote learning site here: https://uow.to/3bGclmj",true
35,"A massive congratulations to our seven students who were among 36 young Australians from five universities across the country to be awarded a Westpac Young Technologists Scholarship yesterday! 👏
This scholarship is designed to support undergraduates who are passionate about technology and exploring ways it can be used for good.
All the best to our students...a new generation of brilliant young Australians to challenge, explore and set new benchmarks in innovation, research, and social change.
UOW.EDU.AU
2020: Aspiring tech innovators receive prestigious scholarships",true
36,"UOW Students
1 April at 14:46 ·
""Life will be different, and it will be something that takes time to get used to.""
We know that UOW students need our support now more than ever.
UOW student Caitlin chats (physically distant of course!) with Professor Julia Coyle who manages student learning, and student support, asking the questions students want answers to.
You're not alone in this.
UOW has moved essential support services for students to an online model to assist in the transition towards remote learning. These services are available to all students, both domestic and international, and we encourage anyone seeking support to access them.
For more info and to get the help you need, please visit uow.info/support",true
37,"UOW Students
1 April at 10:21 ·
What's happening with lab classes and pracs now that we are engaged in remote learning? 🔬
We've been getting some questions from students about the uncertainty around labs and pracs during remote learning.
Subject coordinators are making arrangements for labs and pracs and will be in touch with students very soon.
If you're concerned about this and haven't heard from your subject coordinator yet, you should ask them (via the usual channels of communication, check your subject outline).
If it turns out arrangements don't work for you, and you want to move into an alternate available subject, you'll need to organise a study plan with your faculty (via the relevant Faculty Central / student hub) with the right subjects for you by this Friday - 3 April. This is the last date you can change or add subjects.",true
38,"UOW Students
30 March at 16:01 ·
We have received a lot of queries from students about the Autumn session exams. Things to know:
🖊️ In following government directions, there will be no in-person exams for the Autumn session at any Australian-based campus.
🖊️ End of Autumn session exams will be replaced with alternative assessments, which will be determined on a subject-by-subject basis.
🖊️ UOW is liaising with accrediting bodies to determine solutions, where examinations and assessments form part of their requirements.
🖊️ More information will be communicated to students by their Subject Coordinators in the coming weeks, but for now, check out the remote learning FAQs https://www.uow.edu.au/coronavirus/student/",true
39,"The Australian Government has released an official app and WhatsApp channel to communicate coronavirus updates to Australians. 📱
To download the App:
1. Search “Coronavirus Australia” in the Apple App Store or Google Play.
2. Download
To join the WhatsApp channel:
1. Download WhatsApp
2. Add the government’s number into your WhatsApp contacts: +61 400 253 787
3. Send the account a message to activate
4. You will receive a message back
5. Follow the instructions to get the info you need",true
40,"Sometimes it's hard to make sense of something like 'beauty' during times of darkness, let alone make space to appreciate it.
But this doesn't have to be the case. Being forced to slow down gives us a much-needed permission slip to go searching for beauty in the small things.
Our UOW Photo-Journalist Paul Jones, explores what beauty we can find in isolation in the photo journal below 👇🌸🌱🦆
https://uow.to/2QMaTGS
P.s. We encourage you to save the images you love most and make them your phone or computer screensaver / background.",true
41,"We are hearing the many questions from our student community, and we’re working hard to answer them as quickly as we can on our FAQs website 👉 uow.edu.au/coronavirus/student/
We’d like to thank students who have provided us with feedback about what they are feeling and facing in transitioning to remote learning. If you haven’t submitted your feedback, please check your SOLs and email for info about how you can share your thoughts.
We will continue to update the FAQs webpage to communicate regularly with you on the topics you want to hear about. We’re also using student feedback to inform solutions to issues raised.
Don’t forget that front counters across campuses are transitioning to remote delivery. Our students will receive the same service online that they currently enjoy in person.
💻 uow.info/askuow
📞 1300 275 869
📨 askuow@uow.edu.au",true
42,"UOW Students
26 March at 08:24 ·
These times are unlike anything we’ve ever experienced. We understand students may be unsure how it’s all going to work and concerned that their studies will be disrupted.
UOW student Caitlin sits down with Professor Theo Farrell who is leading the university’s move to entirely remote delivery, asking the questions students want answers to.
For more info, please visit uow.info/studentremotelearning",true
43,"All Australian based UOW campuses remain open and operational. During the mid-session recess, staff are preparing for remote delivery, commencing 6 April 2020.
UOW is continuing to follow all Australian government advice and directions in its response to COVID-19 and is maintaining the health and safety of students, staff and the community as its top priority.
Unfortunately, from midnight tonight (25 March 2020) some facilities at the Wollongong campus will close.
These are difficult times and we regret that these changes and closures must be made.
What’s still open (some with moderated operating hours):
- IGA
- Several cafes and lunch spots
- UOW Library
- UniShop
- Hairdressers
- Banks
- Post office
- STA Travel
- Mac 1
- Kids Uni Childcare
What’s closing:
- Student Service Centre (transitioning to online)
- UniActive pool
- Food courts (closed for dining)
- Discovery gift shop (phone orders still available)
- Northfields Psychology Clinic (transitioning to online)
- Early Intervention Service (transitioning to online)
- Woolyungah Indigenous Centre
- Muslim prayer space
- Wollongong campus room hire
- Innovation Campus Smart Space room hire
Note: wi-fi services remain operational at all campuses.
UOW arrangements to ensure social distancing is practiced in student accommodation
- Social gatherings to be no more than five people
- Staggering dining hours
- Students urged to #stayhome as much as possible
- Enhanced cleaning and maintenance
- Additional support and services for residents
For more information, please read the full media release here: https://uow.to/25march",true
44,"We want to hear from you!
The transition to remote learning with UOW is well underway and we look forward to recommencing online from 6 April.
We want to hear from you to understand what support you need to transition to remote study.
Please check your SOLS messages and UOW email account for more information and to provide feedback. 📩",true
45,"The University of Wollongong is continuing to comply with all government guidance and direction in its response to COVID-19. Please note the below changes to campus indoor sports, library, bar and dining:
📣 UniActive indoor sports facilities are closed.
📣 The outdoor pool is open however strict social distancing rules apply.
📣 The UniBar is closed.
📣 Cafes on campus have transitioned to takeaway only.
📣 The UOW Library is open and social distancing protocols have been implemented.
More information 👉 https://uow.to/3duIYFp
We can’t wait for this to be over and for our amazing campuses to be buzzing again! 😄",true
46,"Panic. Stress. Anxiety. As adults we understand these words only too well, especially given the recent events such as the bushfires and the rapid onslaught of COVID-19 around the world.
For children, however, these emotions can be especially frightening, with still developing language skills making them unable to process and express what’s going on inside.
STAND.UOW.EDU.AU
Caring for kids in times of crisis",true
47,,true
48,"The health crisis itself is anxiety inducing enough, thrown in with adapting to all the changes going on around us, life just isn’t running as usual. Now, more than ever, it’s important to be kind to yourself and make space for mindfulness.
STAND.UOW.EDU.AU
5 tips for maintaining resilience, from UOW experts",true
49,"One easy way to try and ‘flatten the curve’ is by doing the World Health Organization (WHO) #safehands challenge.
If you don’t know how to do it, here’s a video of a UOW nursing student who can show you how! 🧼💦",true
50,"Feeling confused by the onslaught of information regarding COVID-19? At times like these, it’s important to get information from trustworthy sources. Here’s a list of the most reliable places to get your information. 👇
https://uow.to/2vrcmuK",true
51,"UOW COVID-19 update – 17 March
If you are a UOW student, make sure you are checking your emails to keep up to date with the latest.
As you may already know, UOW has moved the upcoming two-week recess to start on 23 March while staff transition courses to remote delivery.
We know you have a lot of questions and we want to answer them.
We are updating our FAQs regularly: https://uow.to/2TMyFog",true
52,"UOW graduation update
In response to government advice regarding non-essential events of over 500 participants, the UOW graduation celebrations planned for the Wollongong Campus on 14-17 April 2020, and for Shoalhaven Campus graduates on 22 April 2020 are cancelled.
We have not taken this decision lightly as we recognise the inconvenience it will inevitably cause, however, promoting the health and safety of the community is our primary concern.
Students who were graduating at the April ceremonies at Wollongong and Shoalhaven campuses will receive their testamur through registered post.
The University understands the importance of formally celebrating this important milestone and will schedule a celebratory event for students unable to attend their graduation ceremony as soon as the elevated risks associated with COVID-19 outbreak have subsided.
Those students who are currently applying to graduate need to continue to do so. Completion of this application will enable us to continue the administration required for the conferral of your degree.
Students apply to graduate online as per our standard processes.
https://uow.to/2TUXrCz",true
53,"We understand that the announcement about session date changes and remote delivery has raised many questions. We are working quickly to address these and will be updating our FAQ’s page with answers as they are resolved.
https://uow.to/2TMyFog",true
54,"UOW COVID-19 response update
These are extraordinary times, with measures to slow the spread of the virus and its subsequent impact disrupting the way we live and interact.
We are taking sensible measures to ensure that students can continue to progress in their studies and our world-class research can continue, whilst also protecting the health and wellbeing of students and staff.
Things to know:
- Plans are well advanced to move to remote delivery for all our courses.
- We are bringing forward the Autumn mid-session break to commence on 23 March and conclude on 3 April. This period will be used to transition all undergraduate and postgraduate programs to remote delivery.
- Classes will recommence in remote delivery mode from 6 April.
- We will continue teaching as normal this week. However, to support students and staff who feel or are particularly vulnerable, we are introducing flexibility with immediate effect. Tutorials and other classes will not be mandatory this week.
See the Vice-Chancellor's full statement here: https://uow.to/39Te5rZ
“Thank you for your efforts and patience as we work our way through a challenging situation. While the impact of COVID-19 will be felt through the remainder of 2020, I am confident that UOW will emerge from it stronger than ever.”
Professor Paul Wellings, VC",true
55,Stay up to date the with UOW’s response to the evolving COVID-19 pandemic by continually visiting https://uow.to/2U2UgHW 🦠🧬,true
56,"We're so lucky to live in this beautiful part of the world. 🙌🌏😍
(📷: instagram.com/p/B8-_Bb6gMWN)",true
57,"""His intellect, energy and drive has helped champion the work of UOW, its role in supporting all our communities and our global positioning."" https://uow.to/2wDWlC1
Professor Paul Wellings CBE will retire from the position of Vice-Chancellor of UOW on 30 June 2021. Under his leadership the University has transformed its facilities and enhanced its reputation as a research-led institution with an outstanding student experience.",true
58,"Celebrate International Women's Day with us, as we trace the women who have made history, changed the world and paved the way for their modern sisters. 💪
STAND.UOW.EDU.AU
Marching on: The history of women's activism",true
59,"We're proud of our latest QS World University Rankings by Subject released this week, cementing our place as a world-class uni. 🙌👏 https://uow.to/3azmHE6
Vice-Chancellor, Paul Wellings CBE, said, ""These results demonstrate our academic excellence, outstanding industry connections and leadership as an institution committed to delivering impactful global solutions.""",true
60,A student who presented to the University of Wollongong campus medical clinic with flu-like symptoms on Wednesday 4 March has undergone testing and returned a negative result to the COVID-19 coronavirus. There have been no confirmed cases of coronavirus among UOW students and staff. UOW staff will continue to provide support to the student to ensure her wellbeing during this period. https://uow.to/3ctiByS,true
61,UOW has today assisted a student to access medical testing after she presented to the campus medical clinic with flu-like symptoms. There remains no confirmed cases of coronavirus at UOW. The University will continue to monitor the situation and update students and staff as new information becomes available. https://uow.to/3apd9Lz,true
62,"In the blackened bushland ravaged by the Currowan fire, a group of UOW students went searching for signs of life from the creatures that call this slice of Australia home. 🌱🦎
STAND.UOW.EDU.AU
The search for nature's bushfire survivors",true
63,"Thanks to all those who participated in our launch week coaching sessions for the UOW Crusaders Global Rugby Program! 🏉🙌
We’re proud to be working with the Crusaders to combine quality rugby coaching with a world-class education, helping students succeed in sport, work and life after the game. Applications open 30 March at https://www.uow.edu.au/globalrugby/",true
64,O-Week 2020 is in full swing! 🎉 A very warm welcome to all our new and returning students. 😊,true
65,"Aspiring rugby players are getting a taste of the UOW Crusaders Global Rugby Program as part of the official launch week. 🏉🏉🏉 Commencing in 2021, the program is an opportunity to receive professional-standard rugby coaching from some of Crusaders’ best, including Canterbury Head Coach and former All Black Captain Reuben Thorne, all while studying at UOW or UOW College in Wollongong.
Details ➡️ https://www.uow.edu.au/globalrugby/",true
66,"“I don’t paint traditional Dreaming stories, my artwork is very contemporary, but it all tells my story.”
Zachary Bennett-Brook, UOW alumnus and the artist known as Saltwater Dreamtime, shares the inspiration behind his vibrant artworks. 🎨🖌
STAND.UOW.EDU.AU
How Zac is living the dream",true
67,"This is how a hot, smoky summer impacts our future health. 🥵
STAND.UOW.EDU.AU
Australia's summer of smoke",true
68,"Just over 1km from Port Kembla is a setting that would rival any David Attenborough documentary – Martin Island, home to a colony of Australian and New Zealand fur seals. UOW Honours student Luis Esteban is flying drones over the island to get a true picture of how many seals live there, as he aims to help guide conservation and prevent environmental impacts on the population. 💦 https://uow.to/2SeioGt",true
69,We're delighted that employers rank UOW graduates the highest in overall satisfaction in NSW! 👏🎓👏🎓 https://uow.to/2GTdnhn,true
70,"Eco-anxiety is a very real problem, so how can we cope with the fear that now goes hand-in-hand with climate change?
STAND.UOW.EDU.AU
The rise of eco-anxiety",true
71,"""The award to me is recognition of the hard work I have put in. It is also a reflection of the amazing efforts of those that make it possible like my wife Rachel, my family and my research team.""
Many congratulations to Professor Justin Yerbury, who has received an Order of Australia Award in the 2020 Australia Day Honours for his contribution to Motor Neurone Disease research. https://uow.to/30Wdxhn",true
72,"PhD student Eden Barrett, whose research focuses on how diet can reduce the burden of disease, has been recognised as a leader in her field in the National Council of Women’s NSW Australia Day Awards. Congratulations Eden 👏
https://uow.to/3aBfN1K",true
73,"Imagine a city with drought so fierce the taps have run dry, unemployment lines filled with disadvantaged youth and waste piled high at the local tip. A bleak scenario, but not for 20 UOW students, who were recently tasked by Illawarra industry mentors to tackle these issues head-on. 💪🌏
STAND.UOW.EDU.AU
A blueprint to change the world",true
74,"We're excited to launch the UOW Crusaders Global Rugby Program, an innovative player development program to be offered at our Wollongong campus from 2021. uow.edu.au/globalrugby
Together with Super Rugby champions the Crusaders, UOW will foster the next generation of rugby talent in the region, allowing participants to achieve excellence on the field and at university. 🏉🎓 Applications open March 2020.",true
75,"UOW's Shoalhaven and Southern Highlands campuses re-opened today, with Bega and Batemans Bay campuses returning to their normal state having provided refuge for hundreds of people displaced by the fires. https://uow.to/2QXBXDA",true
76,"Described as “health bragging”, wellness has become a lifestyle to uphold. But who is buying into it? How did it get so high-end? And do we really need the latest skincare and expensive activewear to live our best life? 🤔
STAND.UOW.EDU.AU
The wellness myth",true
77,"As we continue to support local communities affected by the bushfire emergency, suspension of normal operations at four regional UOW campuses has been extended ahead of a weekend of heightened fire danger throughout the region. https://uow.to/35zIZ5y",true
78,"By 2050 the global population is expected to need 70 to 100 per cent more food. Along with climate change, this has challenged nutritionists to rethink the concept of a healthy diet.
STAND.UOW.EDU.AU
A healthy diet for a healthy planet",true
79,"Over the Christmas and New Year period, as fires ravaged NSW South Coast towns and villages, our Batemans Bay and Bega campuses have become places of refuge for affected people.
“The University of Wollongong stands with the community as we confront this unprecedented emergency,” says UOW Vice Chancellor Paul Wellings.
Read our full response to the NSW bushfires: https://uow.to/37HUWYb
See where the fires are and keep up to date: www.rfs.nsw.gov.au
Get the latest information on road closures: livetraffic.com",true
80,"Keep those brain cells ticking over the break with season one of our podcast, 'Can You Tell Me Why?', as UOW experts find surprising answers to difficult questions.
🎧: https://uow.to/34m3KBa",true
81,"To everyone who has been impacted by the fires on NSW's South Coast, our thoughts are with you. Stay safe.
➡️ NSW Rural Fire Service: https://www.rfs.nsw.gov.au/
➡️ Live Traffic NSW: https://www.livetraffic.com/",true
82,"As the sun rises on a new year – and a new decade – here's to 12 months of happiness, personal growth, and opportunities that bring you closer to your goals. 🙌🙏🌅",true
83,"Why has 90s pop culture come of age once again? Why is it so entrenched? And with a new decade upon us, will we still be watching reruns of 'Friends' and 'Seinfeld' in our high-waisted denim? 🤔
STAND.UOW.EDU.AU
Why are we so nostalgic for the 1990s?",true
84,"In season two of our podcast, 'Can You Tell Me How?', we explore powerful answers to some of the world’s biggest issues.
🎧 : https://uow.to/3215kXN",true
